phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance	
D015179	species	239935	Akkermansia muciniphila	Bacteria	975	4.56803842035077	0.68848	9.10847333324087	
D015179	species	1304	Streptococcus salivarius	Bacteria	969	0.631102503353973	0.06656	1.76996674938303	
D015179	species	246787	Bacteroides cellulosilyticus	Bacteria	956	1.01626364570607	0.163728	2.23304333207624	
D015179	species	46506	Bacteroides stercoris	Bacteria	955	2.75159662814974	0.68321	5.01553381966759	
D015179	species	216816	Bifidobacterium longum	Bacteria	942	1.50881121031635	0.5872	2.55889183292147	
D015179	species	1535	[Clostridium] leptum	Bacteria	921	0.292644354104235	0.071347	0.88323829635886	
D015179	species	166486	Roseburia intestinalis	Bacteria	921	1.14793868349077	0.0848	3.11302729259556	
D015179	species	301301	Roseburia hominis	Bacteria	915	0.424277348042623	0.08682	1.01381760257433	
D015179	species	39492	[Eubacterium] siraeum	Bacteria	901	1.76188968670588	0.47181	3.33908107327373	
D015179	species	208479	[Clostridium] bolteae	Bacteria	880	0.556040258579545	0.0321016	2.10512282854477	
D015179	species	33038	[Ruminococcus] gnavus	Bacteria	876	0.956138384283105	0.05623	4.05346172207565	
D015179	species	214856	Alistipes finegoldii	Bacteria	862	0.338123327291183	0.09527085	0.658086194602946	
D015179	species	204516	Bacteroides massiliensis	Bacteria	824	1.63153025106796	0.4001075	2.7551146841881	
D015179	species	39490	Eubacterium ramulus	Bacteria	816	0.298824893011029	0.1183325	0.470328267607354	
D015179	species	1512	[Clostridium] symbiosum	Bacteria	812	0.254798018963054	0.0582012	0.802115833650242	
D015179	species	39496	Eubacterium ventriosum	Bacteria	790	0.388355259929114	0.1553775	0.722502227730575	
D015179	species	218538	Dialister invisus	Bacteria	752	2.11554048900133	0.26362	3.91266603291477	
D015179	species	35833	Bilophila wadsworthia	Bacteria	744	0.0641752218373656	0.0307595	0.178835225919043	
D015179	species	165179	Prevotella copri	Bacteria	743	7.33524904705114	0.26061	13.7500671660663	
D015179	species	29466	Veillonella parvula	Bacteria	742	0.686570235283019	0.06497675	1.97920484880785	
D015179	species	1308	Streptococcus thermophilus	Bacteria	739	0.357113132809202	0.077	0.740391858694211	
D015179	species	1680	Bifidobacterium adolescentis	Bacteria	739	3.04334230220974	0.81911	5.60010076460036	
D015179	species	28118	Odoribacter splanchnicus	Bacteria	709	0.682580829609309	0.42358	1.12953651274701	
D015179	species	154046	Hungatella hathewayi	Bacteria	705	0.18641769258156	0.0198787	0.914284484434735	
D015179	species	28111	Bacteroides eggerthii	Bacteria	701	1.94010580715835	0.0945805	5.24530014674838	
D015179	species	46228	Ruminococcus lactaris	Bacteria	690	0.998619257408696	0.296865	1.52322933866723	
D015179	species	291645	Bacteroides nordii	Bacteria	674	0.246556203332344	0.06031825	0.705344498404221	
D015179	species	28037	Streptococcus mitis	Bacteria	672	0.296720772389881	0.0247391	1.07405074816701	
D015179	species	116085	Coprococcus catus	Bacteria	656	0.344885945121951	0.24466	0.378111999379589	
D015179	species	487174	Barnesiella intestinihominis	Bacteria	623	1.60463104333868	0.96865	1.72808871096165	
D015179	species	329854	Bacteroides intestinalis	Bacteria	618	0.348803341404531	0.0497	0.743945703621994	
D015179	species	169435	Anaerotruncus colihominis	Bacteria	610	0.203728075329508	0.0363118	0.571484861569924	
D015179	species	310298	Bacteroides coprocola	Bacteria	609	4.11781341619376	0.609018	7.99513349326431	
D015179	species	658087	Lachnospiraceae bacterium 7_1_58FAA	Bacteria	608	0.0679527960526316	0.031115	0.114421934639303	
D015179	species	40519	Ruminococcus callidus	Bacteria	606	0.340272795052805	0.061673	0.695326745627249	
D015179	species	729	Haemophilus parainfluenzae	Bacteria	595	0.352344556852101	0.03425	1.47416589262336	
D015179	species	665950	Lachnospiraceae bacterium 3_1_46FAA	Bacteria	576	0.222035677083333	0.112935	0.27365601925469	
D015179	species	1343	Streptococcus vestibularis	Bacteria	567	0.141742293433862	0.0267335	0.426135425803556	
D015179	species	851	Fusobacterium nucleatum	Bacteria	566	0.49577863045053	0.0258	1.84036765235241	
D015179	species	487175	Parasutterella excrementihominis	Bacteria	549	0.367561228639344	0.03578	1.07620358203167	
D015179	species	61171	Holdemania filiformis	Bacteria	548	0.0623911639470803	0.02629175	0.129462863728989	
D015179	species	39777	Veillonella atypica	Bacteria	543	0.411287989996317	0.035137	1.82066018487823	
D015179	species	358743	[Clostridium] citroniae	Bacteria	542	0.122869622274908	0.01608585	1.07026562098822	
D015179	species	84112	Eggerthella lenta	Bacteria	525	0.0530945205638095	0.012392	0.152404927557477	
D015179	species	39778	Veillonella dispar	Bacteria	521	0.425792415082534	0.02837	1.35885572520396	
D015179	species	328812	Parabacteroides goldsteinii	Bacteria	516	0.217269968397287	0.03519095	0.50359429798571	
D015179	species	454154	Paraprevotella clara	Bacteria	516	0.644528665397287	0.1298025	1.47604158105429	
D015179	species	658089	Lachnospiraceae bacterium 5_1_63FAA	Bacteria	514	0.21430186770428	0.048135	0.683170319208312	
D015179	species	310297	Bacteroides plebeius	Bacteria	511	0.838600027733855	0.169044	1.50076388131121	
D015179	species	28026	Bifidobacterium pseudocatenulatum	Bacteria	509	0.529277219	0.087181	1.36025714221757	
D015179	species	387661	Parabacteroides johnsonii	Bacteria	494	0.329311030348178	0.0404137	0.744796031369811	
D015179	species	291644	Bacteroides salyersiae	Bacteria	492	0.686191495443089	0.1050785	1.79440750652371	
D015179	species	2173	Methanobrevibacter smithii	Archaea	489	2.83808836799755	0.57811	5.8300980985276	
D015179	species	1318	Streptococcus parasanguinis	Bacteria	488	0.420652125737705	0.084555	1.01431355284529	
D015179	species	1735	Holdemanella biformis	Bacteria	483	0.837000683604555	0.18413	1.44380269242888	
D015179	species	46124	Granulicatella adiacens	Bacteria	483	0.107128002679089	0.00933998	0.502927358004012	
D015179	species	1297750	Bacteroides luti	Bacteria	466	1.35203709840129	0.691834	2.22868423130968	
D015179	species	649756	Anaerostipes hadrus	Bacteria	464	0.274154224137931	0.05528	0.573121461597516	
D015179	species	69825	[Clostridium] indolis	Bacteria	453	0.30561819780574	0.0923564	0.832816947539244	
D015179	species	351091	Oscillibacter valericigenes	Bacteria	447	0.940560283870246	0.397844	1.50378702849619	
D015179	species	261299	Intestinibacter bartlettii	Bacteria	439	0.136841302143508	0.02992	0.380732530018451	
D015179	species	876	Desulfovibrio desulfuricans	Bacteria	438	0.136211141214612	0.016105	0.481907624458754	
D015179	species	658081	Lachnospiraceae bacterium 1_1_57FAA	Bacteria	431	1.29558761020882	0.27795	4.29836480229061	
D015179	species	446660	Adlercreutzia equolifaciens	Bacteria	427	0.169276365063232	0.06015	0.506939697137563	
D015179	species	84030	[Clostridium] saccharolyticum	Bacteria	426	0.258600219913146	0.0429158	1.286949782438	
D015179	species	626932	Alistipes indistinctus	Bacteria	420	0.225725421952381	0.10571	0.327130091595861	
D015179	species	1303	Streptococcus oralis	Bacteria	418	0.164273069478469	0.02635135	0.395070900527702	
D015179	species	187327	Acidaminococcus intestini	Bacteria	415	0.434231401392771	0.01688	1.85122605106417	
D015179	species	36847	[Clostridium] neopropionicum	Bacteria	405	0.257520433353086	0.0652789	0.679405274590558	
D015179	species	52226	Mitsuokella multacida	Bacteria	402	0.401051109134328	0.0239548	1.03213380282181	
D015179	species	39484	Eubacterium desmolans	Bacteria	398	0.157270315919598	0.03963885	0.302380643081487	
D015179	species	1465754	Alistipes timonensis	Bacteria	398	0.230698005572864	0.05489355	0.5334540132863	
D015179	species	573	Klebsiella pneumoniae	Bacteria	394	0.403682701134518	0.01773955	1.75453078050254	
D015179	species	28446	[Clostridium] propionicum	Bacteria	391	0.154951967565217	0.0425178	0.417146763928986	
D015179	species	53443	Blautia hydrogenotrophica	Bacteria	391	0.0584489887263427	0.0112943	0.158515676577181	
D015179	species	102148	Solobacterium moorei	Bacteria	390	0.18857504974359	0.015955	0.483114796646658	
D015179	species	471189	Gordonibacter pamelaeae	Bacteria	389	0.0334508280976864	0.01086	0.0633724927496352	
D015179	species	397865	Barnesiella viscericola	Bacteria	387	0.454856031801034	0.0273183	0.957518029277811	
D015179	species	1515	Ruminiclostridium thermocellum	Bacteria	386	0.251789389310881	0.04822675	0.667245714353102	
D015179	species	341694	Peptostreptococcus stomatis	Bacteria	383	0.494088521712794	0.06182	1.08715616220267	
D015179	species	1547	Erysipelatoclostridium ramosum	Bacteria	380	0.214934092947368	0.01630185	0.89180929409484	
D015179	species	1686	Bifidobacterium catenulatum	Bacteria	371	0.204181357706199	0.02703	0.46771659825694	
D015179	species	84026	[Clostridium] methylpentosum	Bacteria	371	0.513281840889488	0.0397335	1.84319518057497	
D015179	species	1288121	Alistipes senegalensis	Bacteria	371	0.0623423450134771	0.0263	0.0835837678127957	
D015179	species	292800	Flavonifractor plautii	Bacteria	367	0.119029283623978	0.02935	0.369632601409422	
D015179	species	106588	Pseudoflavonifractor capillosus	Bacteria	364	0.0158393585576923	0.0082	0.0232232552961151	
D015179	species	1532	Blautia coccoides	Bacteria	362	0.0512308068480663	0.0120169	0.138748227599857	
D015179	species	180311	Hespellia stercorisuis	Bacteria	362	0.0532021672842541	0.01894285	0.104574476469195	
D015179	species	871324	Bacteroides stercorirosoris	Bacteria	360	0.0322642509472222	0.01235645	0.11172699859422	
D015179	species	1264	Ruminococcus albus	Bacteria	350	0.16396028176	0.009187685	0.612685437201964	
D015179	species	85831	Bacteroides acidifaciens	Bacteria	349	0.0370458087965616	0.0181346	0.0610125133703025	
D015179	species	358742	[Clostridium] aldenense	Bacteria	348	0.0990514395890805	0.01998525	0.385379238324185	
D015179	species	33033	Parvimonas micra	Bacteria	346	0.354610902260116	0.0299466	1.69636076066446	
D015179	species	89014	Blautia luti	Bacteria	346	0.024926824566474	0.01702525	0.0295517240846255	
D015179	species	1379	Gemella haemolysans	Bacteria	342	0.182882648798246	0.0067335	1.07631965905858	
D015179	species	33031	Peptoniphilus lacrimalis	Bacteria	338	0.0737490312781065	0.0123898	0.40712231625687	
D015179	species	658086	Lachnospiraceae bacterium 3_1_57FAA_CT1	Bacteria	337	0.272612908011869	0.02566	1.35446892845603	
D015179	species	29348	[Clostridium] spiroforme	Bacteria	332	0.11852559353012	0.0231655	0.304273057532109	
D015179	species	301302	Roseburia faecis	Bacteria	331	0.249281868942598	0.0697115	0.490277138968556	
D015179	species	29391	Gemella morbillorum	Bacteria	326	0.227898358625767	0.02528	0.491698609415226	
D015179	species	623	Shigella flexneri	Bacteria	325	0.153245918809231	0.0329148	0.564790878201603	
D015179	species	287	Pseudomonas aeruginosa	Bacteria	324	0.318039671351852	0.0186905	1.9070108262255	
D015179	species	47246	[Clostridium] viride	Bacteria	324	0.0745665984228395	0.0185415	0.147881263467918	
D015179	species	158847	Megamonas hypermegale	Bacteria	323	1.27600158916409	0.0698133	2.95882968919304	
D015179	species	1302	Streptococcus gordonii	Bacteria	320	0.0416738775625	0.013055	0.0733866367936229	
D015179	species	552398	Ruminococcaceae bacterium D16	Bacteria	320	0.20248565625	0.043675	0.460441826796985	
D015179	species	1502	Clostridium perfringens	Bacteria	313	0.423684978501597	0.0199315	1.66690884405445	
D015179	species	387090	Bacteroides coprophilus	Bacteria	312	0.556090221535256	0.0152607	1.41983397704679	
D015179	species	1660	Actinomyces odontolyticus	Bacteria	310	0.0374546138741935	0.006385	0.15724890821999	
D015179	species	1689	Bifidobacterium dentium	Bacteria	310	0.205822290393548	0.0185111	0.758454980100875	
D015179	species	1559	Clostridium tertium	Bacteria	304	0.247900011378289	0.0117481	1.56892930480777	
D015179	species	28123	Porphyromonas asaccharolytica	Bacteria	301	1.11991923901993	0.24245	2.93690292190075	
D015179	species	1530	Clostridium carnis	Bacteria	300	0.20104323433	0.08213575	0.272308029729816	
D015179	species	1681	Bifidobacterium bifidum	Bacteria	296	1.48564834179392	0.188525	3.982369981028	
D015179	species	901	Desulfovibrio piger	Bacteria	295	0.579936093481356	0.1794	1.10245888711142	
D015179	species	691816	Bacteroides rodentium	Bacteria	293	0.0394081788737201	0.00750742	0.22002281745467	
D015179	species	1099853	Coprobacter fastidiosus	Bacteria	288	0.223429791666667	0.07366	0.458073944084071	
D015179	species	1328	Streptococcus anginosus	Bacteria	287	0.302418399672474	0.0283804	1.67773126332651	
D015179	species	44749	Sporobacter termitidis	Bacteria	287	0.114816559644599	0.0167827	0.266815051946143	
D015179	species	376804	Bacteroides barnesiae	Bacteria	287	0.640705754313589	0.0120613	3.32531660904569	
D015179	species	674529	Bacteroides faecis	Bacteria	287	0.45942456445993	0.07854	0.87421834608757	
D015179	species	31971	[Eubacterium] dolichum	Bacteria	286	0.056189550486014	0.0152753	0.124070860705628	
D015179	species	1110546	Veillonella tobetsuensis	Bacteria	283	0.221259691660777	0.0310298	0.561878970184623	
D015179	species	544645	Butyricimonas virosa	Bacteria	282	0.33225962912766	0.170253	0.456432638631706	
D015179	species	457412	Ruminococcus sp. 5_1_39BFAA	Bacteria	279	2.69598451612903	1.70568	3.30025978207903	
D015179	species	1358	Lactococcus lactis	Bacteria	278	0.190390554838129	0.03486	0.679104338714954	
D015179	species	626937	Christensenella minuta	Bacteria	274	0.0656250926569343	0.01971415	0.196728020435831	
D015179	species	333367	[Clostridium] asparagiforme	Bacteria	273	0.107467179487179	0.02307	0.298619432188561	
D015179	species	28901	Salmonella enterica	Bacteria	269	0.051552566732342	0.0104351	0.233909091248008	
D015179	species	288965	[Clostridium] clariflavum	Bacteria	266	0.0321073952932331	0.0102579	0.0835716007150001	
D015179	species	658082	Lachnospiraceae bacterium 2_1_58FAA	Bacteria	266	0.36603037593985	0.07695	0.80608587221275	
D015179	species	40545	Sutterella wadsworthensis	Bacteria	265	1.0936398490566	0.43572	1.37857878558449	
D015179	species	29363	Clostridium paraputrificum	Bacteria	264	0.140693584962121	0.008076425	0.971448755094079	
D015179	species	633701	Prevotella saccharolytica	Bacteria	264	1.28006388855303	0.0124419	3.23059351579626	
D015179	species	338188	Bacteroides finegoldii	Bacteria	263	0.786365662536122	0.22006	1.93360478376095	
D015179	species	905	Acidaminococcus fermentans	Bacteria	262	0.606551671564886	0.02465595	1.44791747812989	
D015179	species	36835	[Clostridium] colinum	Bacteria	262	0.128502707671756	0.0232634	0.341308600170477	
D015179	species	1305	Streptococcus sanguinis	Bacteria	259	0.0476929133513514	0.01361	0.0843448687100016	
D015179	species	856	Fusobacterium varium	Bacteria	258	0.587589157178295	0.01523005	2.62305180068062	
D015179	species	28447	Clavibacter michiganensis	Bacteria	255	0.0435615078337255	0.0150625	0.105739287558477	
D015179	species	43675	Rothia mucilaginosa	Bacteria	255	0.085582295945098	0.00911	0.514025227828116	
D015179	species	143393	[Eubacterium] sulci	Bacteria	252	0.0546291997380952	0.01670405	0.122720827992527	
D015179	species	308994	Dialister propionicifaciens	Bacteria	251	0.690615899760956	0.01723	1.68495006198795	
D015179	species	658657	Erysipelotrichaceae bacterium 21_3	Bacteria	251	0.0255525498007968	0.00795	0.0862984721665019	
D015179	species	907	Megasphaera elsdenii	Bacteria	248	0.202660366862903	0.0107113	0.685785743703352	
D015179	species	1307	Streptococcus suis	Bacteria	248	0.0551496585564516	0.008127555	0.227613086937922	
D015179	species	1382	Atopobium parvulum	Bacteria	245	0.0241812734571429	0.00508259	0.0739745926012294	
D015179	species	437898	Sutterella parvirubra	Bacteria	245	0.234159219906122	0.0369342	0.633722447414825	
D015179	species	850	Fusobacterium mortiferum	Bacteria	243	0.690897072946502	0.0106729	2.18388037024535	
D015179	species	45851	Butyrivibrio crossotus	Bacteria	242	3.6068454896157	0.0206037	8.8298959674658	
D015179	species	457422	Erysipelotrichaceae bacterium 2_2_44A	Bacteria	239	0.053593179916318	0.00679	0.181535426593084	
D015179	species	1352	Enterococcus faecium	Bacteria	238	0.91878923810084	0.0161888	4.43404038684397	
D015179	species	457421	Clostridiales bacterium 1_7_47FAA	Bacteria	238	0.0558606722689076	0.016925	0.100541154159453	
D015179	species	35517	[Eubacterium] brachy	Bacteria	234	0.0414852513931624	0.0105913	0.180660312338652	
D015179	species	1161942	Ruminococcus champanellensis	Bacteria	234	0.147658800111111	0.01168365	0.39899232154165	
D015179	species	113107	Streptococcus australis	Bacteria	233	0.0640509871244635	0.02138	0.109001853829398	
D015179	species	197614	Streptococcus pasteurianus	Bacteria	233	0.252119910381974	0.0120702	0.985723973043575	
D015179	species	454155	Paraprevotella xylaniphila	Bacteria	231	0.152541075714286	0.01863	0.337804372858189	
D015179	species	626940	Phascolarctobacterium succinatutens	Bacteria	229	2.26251349344978	1.79859	2.03149051329659	
D015179	species	860	Fusobacterium periodonticum	Bacteria	228	0.102697255850877	0.00606879	0.493481325300997	
D015179	species	1596	Lactobacillus gasseri	Bacteria	228	0.244724389811404	0.0193191	1.60846890816171	
D015179	species	107580	Bacteroides sp. CIP103040	Bacteria	228	0.0446855831578947	0.01145865	0.109530763856831	
D015179	species	225324	Enhydrobacter aerosaccus	Bacteria	227	0.0141704522863436	0.010068	0.017439508553765	
D015179	species	665951	Lachnospiraceae bacterium 8_1_57FAA	Bacteria	225	0.786662622222222	0.37416	1.01214749875784	
D015179	species	1322	Blautia hansenii	Bacteria	222	0.0227374655130631	0.00853445	0.0461375549133316	
D015179	species	115979	Bacillus nealsonii	Bacteria	220	0.0356615582954545	0.006089	0.174899835920049	
D015179	species	234908	Sutterella stercoricanis	Bacteria	220	0.320907812636364	0.06452815	0.790700434845029	
D015179	species	1507	Clostridium sp. ATCC 29733	Bacteria	216	0.0843186761064815	0.0103007	0.216572047688138	
D015179	species	1265	Ruminococcus flavefaciens	Bacteria	214	0.0674244678925234	0.005094375	0.240938364711702	
D015179	species	39950	Dialister pneumosintes	Bacteria	214	0.18437316438785	0.028337	0.639066169506922	
D015179	species	341225	[Clostridium] saccharogumia	Bacteria	211	0.0376202307819905	0.00596837	0.11191176467142	
D015179	species	536633	Blautia glucerasea	Bacteria	211	0.117477443791469	0.00505485	0.505564026182376	
D015179	species	1018	Capnocytophaga ochracea	Bacteria	210	0.143712866707619	0.00556071	0.851512165825533	
D015179	species	29375	[Clostridium] xylanolyticum	Bacteria	210	0.0696721047190476	0.00756252	0.159213643893034	
D015179	species	1531	[Clostridium] clostridioforme	Bacteria	208	0.795640127778846	0.047275	2.83690781562957	
D015179	species	204038	Dickeya dadantii	Bacteria	208	0.0283144501346154	0.00599271	0.143475640428069	
D015179	species	671267	Bacteroides sartorii	Bacteria	208	0.0164097142740385	0.004469865	0.046732913601423	
D015179	species	28125	Prevotella bivia	Bacteria	207	0.160417251666667	0.00888468	0.608434869871279	
D015179	species	847	Oxalobacter formigenes	Bacteria	205	0.0467543106341463	0.0114059	0.167604120190383	
D015179	species	839	Prevotella ruminicola	Bacteria	203	0.0184760586206897	0.00540041	0.0827736260882063	
D015179	species	469610	Burkholderiales bacterium 1_1_47	Bacteria	203	0.0749264532019704	0.02626	0.153836521514608	
D015179	species	762212	Bifidobacterium biavatii	Bacteria	201	0.0580208516766169	0.0138499	0.142017970374643	
D015179	species	1354	Enterococcus hirae	Bacteria	200	0.015980857025	0.006872975	0.0297117854297357	
D015179	species	33043	Coprococcus eutactus	Bacteria	198	1.37572860198485	0.03427705	4.11319739845556	
D015179	species	861	Fusobacterium ulcerans	Bacteria	197	0.626934581060914	0.018	2.99996354158296	
D015179	species	29360	Cellulosilyticum lentocellum	Bacteria	196	0.08000603675	0.00473122	0.708345090795189	
D015179	species	1280	Staphylococcus aureus	Bacteria	195	0.190295842651282	0.00586132	0.967679182273766	
D015179	species	28025	Bifidobacterium animalis	Bacteria	195	0.303391589579487	0.03083	0.671803236432955	
D015179	species	78345	Bifidobacterium merycicum	Bacteria	195	0.128706477266667	0.0163228	0.430233557783189	
D015179	species	469614	Erysipelotrichaceae bacterium 6_1_45	Bacteria	193	0.0304541450777202	0.00722	0.0606558190000117	
D015179	species	214851	Subdoligranulum variabile	Bacteria	192	0.00766571905729167	0.003176225	0.0169537041552243	
D015179	species	1124188	Flavobacterium fontis	Bacteria	191	0.0697319215602094	0.0115249	0.166559128026414	
D015179	species	39497	Eubacterium xylanophilum	Bacteria	190	0.0299676926684211	0.0102982	0.0887985030023854	
D015179	species	66852	Methanobrevibacter sp.	Archaea	190	0.389241315789474	0.15477	0.706934828598479	
D015179	species	745368	Gemmiger formicilis	Bacteria	190	0.0134548069473684	0.00603572	0.0214307076171119	
D015179	species	477666	Bacteroides graminisolvens	Bacteria	189	0.0330913928042328	0.00605535	0.115186754963216	
D015179	species	658655	Lachnospiraceae bacterium 1_4_56FAA	Bacteria	189	0.264868465608466	0.04487	0.721420994372613	
D015179	species	1504	Clostridium septicum	Bacteria	188	0.099577500643617	0.008159485	0.41587916327341	
D015179	species	1685	Bifidobacterium breve	Bacteria	187	0.309333245454545	0.00875695	2.75531751158209	
D015179	species	29347	[Clostridium] scindens	Bacteria	187	0.0385480114973262	0.00576319	0.109362850750512	
D015179	species	626929	Bacteroides clarus	Bacteria	187	0.455628395721925	0.09044	0.851337786706799	
D015179	species	28135	Prevotella oris	Bacteria	181	0.121749394480663	0.00564844	0.484814731074464	
D015179	species	29361	Tyzzerella nexilis	Bacteria	181	0.678359116022099	0.05866	1.91225712538214	
D015179	species	1313	Streptococcus pneumoniae	Bacteria	180	0.0848164441666667	0.00441826	0.99385457490284	
D015179	species	281920	Porphyromonas uenonis	Bacteria	180	0.959153603611111	0.033395	3.95622409880762	
D015179	species	840	Prevotella loescheii	Bacteria	177	0.198201283497175	0.00459812	0.696071777582581	
D015179	species	103892	Veillonella ratti	Bacteria	176	0.169799208738636	0.00725886	1.36644019900453	
D015179	species	52787	Anaerofilum pentosovorans	Bacteria	175	0.0589218115485714	0.0137263	0.223071229580727	
D015179	species	39483	Faecalitalea cylindroides	Bacteria	171	1.38908320273099	0.06777	3.86178218355252	
D015179	species	626935	Collinsella tanakaei	Bacteria	167	0.373520193221557	0.0243487	0.828681260329106	
D015179	species	376806	Bacteroides gallinarum	Bacteria	165	0.101977913981818	0.00525569	0.650719942547171	
D015179	species	1520	Clostridium beijerinckii	Bacteria	164	0.178637855121951	0.00588755	0.7693722411238	
D015179	species	1598	Lactobacillus reuteri	Bacteria	164	0.250029269737805	0.01629365	0.639341952805147	
D015179	species	147207	Collinsella intestinalis	Bacteria	164	0.287619518310976	0.006700845	1.27733846144118	
D015179	species	100886	Catenibacterium mitsuokai	Bacteria	160	1.5909424375	0.85118	2.31126845376777	
D015179	species	228604	Prevotella salivae	Bacteria	158	0.102212228512658	0.006134365	0.381645642772629	
D015179	species	1522	[Clostridium] innocuum	Bacteria	157	0.137378815312102	0.00796	0.510119442972899	
D015179	species	1624	Lactobacillus salivarius	Bacteria	155	0.189775471109677	0.0160717	0.434807478354159	
D015179	species	1747	Propionibacterium acnes	Bacteria	155	3.3650151802129	0.799029	5.5729257041135	
D015179	species	68892	Streptococcus infantis	Bacteria	155	0.0264304516129032	0.01488	0.0374388885834789	
D015179	species	185300	Paludibacter propionicigenes	Bacteria	155	0.00713415986451613	0.00437541	0.0125159867838586	
D015179	species	654	Aeromonas veronii	Bacteria	154	0.108654077480519	0.005577615	0.416790830075592	
D015179	species	504487	Jejuia pallidilutea	Bacteria	152	0.0377118312236842	0.0108258	0.0862772076316025	
D015179	species	1118061	Alistipes obesi	Bacteria	152	0.841386842105263	0.54897	1.13310683381707	
D015179	species	550	Enterobacter cloacae	Bacteria	150	0.306608173433333	0.01169855	1.11143409754613	
D015179	species	859	Fusobacterium necrophorum	Bacteria	150	0.399952732893333	0.0101439	1.82062298181112	
D015179	species	28136	Prevotella oulorum	Bacteria	150	0.0364268403066667	0.009267265	0.0682618297613359	
D015179	species	41976	Porphyromonas catoniae	Bacteria	150	0.0252895822533333	0.003443475	0.167938443489114	
D015179	species	546	Citrobacter freundii	Bacteria	149	0.318091457020134	0.0136509	0.939641852284798	
D015179	species	1335	Streptococcus equinus	Bacteria	149	0.0878394994899329	0.00527565	0.636968170700045	
D015179	species	645466	Anaerostipes butyraticus	Bacteria	148	0.0166112444189189	0.00494273	0.060343105159045	
D015179	species	881	Desulfovibrio vulgaris	Bacteria	146	0.0269331219246575	0.007011895	0.0629763502226395	
D015179	species	37734	Enterococcus casseliflavus	Bacteria	146	0.0895844901986301	0.005242975	0.654084462894649	
D015179	species	1078480	Haemophilus sputorum	Bacteria	145	0.038079365862069	0.00731128	0.146043241558321	
D015179	species	1309	Streptococcus mutans	Bacteria	144	0.0973821949305556	0.01629565	0.492393622362316	
D015179	species	1694	Bifidobacterium pseudolongum	Bacteria	144	0.0406291506875	0.005683775	0.165693366821729	
D015179	species	703	Plesiomonas shigelloides	Bacteria	143	0.0491547937972028	0.0055104	0.19081644608649	
D015179	species	33035	Blautia producta	Bacteria	141	0.229060908907801	0.02014	0.823211708409182	
D015179	species	33959	Lactobacillus johnsonii	Bacteria	141	0.156600645893617	0.00876232	0.42466058272342	
