phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance	
D003924	species	1512	[Clostridium] symbiosum	Bacteria	293	0.162540703365188	0.0332867	0.590257892885961	
D003924	species	246787	Bacteroides cellulosilyticus	Bacteria	291	0.751189747487973	0.10775	2.00298873053374	
D003924	species	301301	Roseburia hominis	Bacteria	288	0.454224363086806	0.155452	0.815479797338518	
D003924	species	166486	Roseburia intestinalis	Bacteria	287	0.5595790891777	0.0908505	1.38930785928054	
D003924	species	39490	Eubacterium ramulus	Bacteria	286	0.318122163898601	0.03662305	1.387766209843	
D003924	species	328813	Alistipes onderdonkii	Bacteria	285	0.737794669284211	0.12287	1.81893217029326	
D003924	species	74426	Collinsella aerofaciens	Bacteria	283	0.683468552522968	0.196392	1.22538388130396	
D003924	species	1535	[Clostridium] leptum	Bacteria	275	0.169042846509091	0.0475568	0.581683509347984	
D003924	species	165179	Prevotella copri	Bacteria	273	11.5147821504029	1.08945	16.7609666654255	
D003924	species	35833	Bilophila wadsworthia	Bacteria	268	0.0845171463059702	0.03413545	0.141121243497534	
D003924	species	39496	Eubacterium ventriosum	Bacteria	267	0.466914856520599	0.07981	1.17374989018572	
D003924	species	204516	Bacteroides massiliensis	Bacteria	267	2.40364434530337	0.182891	4.83613416469701	
D003924	species	214856	Alistipes finegoldii	Bacteria	267	0.290136928501873	0.07514	0.520169242613327	
D003924	species	360807	Roseburia inulinivorans	Bacteria	266	1.44352119898496	0.3305335	3.35384933213284	
D003924	species	29466	Veillonella parvula	Bacteria	258	0.297291729069767	0.03203245	1.54728778386289	
D003924	species	61171	Holdemania filiformis	Bacteria	258	0.0546703017325581	0.03256285	0.0712600424578933	
D003924	species	169435	Anaerotruncus colihominis	Bacteria	253	0.13458323024664	0.03374	0.295996072299996	
D003924	species	329854	Bacteroides intestinalis	Bacteria	250	0.601091587764	0.0646341	1.60847167255307	
D003924	species	28118	Odoribacter splanchnicus	Bacteria	249	0.607470895514056	0.38709	0.766014404483741	
D003924	species	358743	[Clostridium] citroniae	Bacteria	241	0.0377290410456432	0.01359	0.0768848897916167	
D003924	species	28026	Bifidobacterium pseudocatenulatum	Bacteria	235	1.12982464638723	0.235332	2.48811897531473	
D003924	species	239935	Akkermansia muciniphila	Bacteria	231	2.68568388177056	0.49456	5.08376551448353	
D003924	species	291645	Bacteroides nordii	Bacteria	229	0.0797353747336245	0.02519	0.143432637525526	
D003924	species	261299	Intestinibacter bartlettii	Bacteria	224	0.135932570446429	0.0294356	0.441327970393475	
D003924	species	487175	Parasutterella excrementihominis	Bacteria	220	0.56978945935	0.05122705	2.07547563123444	
D003924	species	39492	[Eubacterium] siraeum	Bacteria	218	1.05174121840367	0.049115	3.42368706040152	
D003924	species	40519	Ruminococcus callidus	Bacteria	218	0.361228673353211	0.05126515	0.853644184133575	
D003924	species	328812	Parabacteroides goldsteinii	Bacteria	218	0.218326073027523	0.02365	0.87107765600174	
D003924	species	154046	Hungatella hathewayi	Bacteria	216	0.213347605648148	0.02173	0.760644301367588	
D003924	species	658089	Lachnospiraceae bacterium 5_1_63FAA	Bacteria	215	0.265499627906977	0.05578	0.655239108041029	
D003924	species	28111	Bacteroides eggerthii	Bacteria	213	1.35613893973239	0.0689713	4.07128026454794	
D003924	species	1680	Bifidobacterium adolescentis	Bacteria	209	1.90084017727751	0.314878	4.75374050783336	
D003924	species	1343	Streptococcus vestibularis	Bacteria	208	0.283588082206731	0.02249555	1.39653244283954	
D003924	species	626932	Alistipes indistinctus	Bacteria	207	0.257943740086957	0.03568	0.74704406173968	
D003924	species	46228	Ruminococcus lactaris	Bacteria	205	0.52295210824878	0.058833	1.05236218322093	
D003924	species	729	Haemophilus parainfluenzae	Bacteria	203	0.323786578743842	0.03124	0.914853945261804	
D003924	species	658087	Lachnospiraceae bacterium 7_1_58FAA	Bacteria	203	0.0423288177339902	0.01792	0.0701263059819533	
D003924	species	387661	Parabacteroides johnsonii	Bacteria	202	0.239790880143564	0.03736955	0.528451650993685	
D003924	species	84112	Eggerthella lenta	Bacteria	199	0.0396339412261307	0.0059805	0.156831227275076	
D003924	species	1547	Erysipelatoclostridium ramosum	Bacteria	196	0.0641250102857143	0.0102755	0.201494403860593	
D003924	species	28037	Streptococcus mitis	Bacteria	195	0.0510703842153846	0.0127299	0.0988613240375653	
D003924	species	310298	Bacteroides coprocola	Bacteria	189	2.6441509962381	0.0556851	6.28169367077348	
D003924	species	876	Desulfovibrio desulfuricans	Bacteria	186	0.187143154387097	0.01373555	0.904538257379143	
D003924	species	291644	Bacteroides salyersiae	Bacteria	185	0.494283755086486	0.1139	1.02955103349785	
D003924	species	218538	Dialister invisus	Bacteria	184	2.99161259690217	1.26108	4.75108319212543	
D003924	species	1308	Streptococcus thermophilus	Bacteria	179	0.223183827653631	0.0319559	0.576487926930884	
D003924	species	454154	Paraprevotella clara	Bacteria	178	0.47682095468427	0.166665	0.873388568593606	
D003924	species	1318	Streptococcus parasanguinis	Bacteria	176	0.234728636363636	0.041055	0.73113398309074	
D003924	species	573	Klebsiella pneumoniae	Bacteria	172	1.02398200806977	0.05713	3.06990955376027	
D003924	species	39778	Veillonella dispar	Bacteria	172	0.135016865482558	0.0148179	0.592763813063204	
D003924	species	338188	Bacteroides finegoldii	Bacteria	172	0.611278109575581	0.0337453	1.86918828775077	
D003924	species	187327	Acidaminococcus intestini	Bacteria	171	0.687051581380117	0.0317486	1.68372413178622	
D003924	species	39777	Veillonella atypica	Bacteria	170	0.0492583182117647	0.006705	0.141816789203804	
D003924	species	292800	Flavonifractor plautii	Bacteria	170	0.0824873987058824	0.029335	0.153411092423592	
D003924	species	649756	Anaerostipes hadrus	Bacteria	170	0.134529058823529	0.022675	0.347101156456313	
D003924	species	1735	Holdemanella biformis	Bacteria	169	0.91949978064497	0.283388	1.64455860944642	
D003924	species	310297	Bacteroides plebeius	Bacteria	168	2.47187693627381	0.152555	5.06340339888417	
D003924	species	1264	Ruminococcus albus	Bacteria	166	0.0564110381807229	0.00749	0.182725461687051	
D003924	species	665950	Lachnospiraceae bacterium 3_1_46FAA	Bacteria	162	0.189888209876543	0.058535	0.391060303544833	
D003924	species	658081	Lachnospiraceae bacterium 1_1_57FAA	Bacteria	160	0.543559	0.174875	1.0007026331302	
D003924	species	116085	Coprococcus catus	Bacteria	159	0.294888238993711	0.15739	0.341116174246139	
D003924	species	1328	Streptococcus anginosus	Bacteria	157	0.0497628938280255	0.00776456	0.224294785285376	
D003924	species	1681	Bifidobacterium bifidum	Bacteria	154	0.450669622824675	0.048802	1.16007504928458	
D003924	species	457421	Clostridiales bacterium 1_7_47FAA	Bacteria	153	0.0458450326797386	0.01745	0.128800604695398	
D003924	species	1686	Bifidobacterium catenulatum	Bacteria	151	0.137365733284768	0.0282857	0.435700963635864	
D003924	species	1660	Actinomyces odontolyticus	Bacteria	150	0.0125931166133333	0.005402075	0.0183454700902699	
D003924	species	333367	[Clostridium] asparagiforme	Bacteria	149	0.0724726174496644	0.03116	0.134582177449399	
D003924	species	53443	Blautia hydrogenotrophica	Bacteria	147	0.0306904855714286	0.00775	0.0646345337214502	
D003924	species	457412	Ruminococcus sp. 5_1_39BFAA	Bacteria	144	2.62365756944444	1.022155	3.54389664604267	
D003924	species	46124	Granulicatella adiacens	Bacteria	141	0.00863852730496454	0.00331	0.0147726831312644	
D003924	species	674529	Bacteroides faecis	Bacteria	141	0.158688085106383	0.0088	0.766087550742561	
D003924	species	446660	Adlercreutzia equolifaciens	Bacteria	139	0.112431150935252	0.04658	0.174770419147376	
D003924	species	471189	Gordonibacter pamelaeae	Bacteria	139	0.026963379676259	0.00938	0.0461973073061586	
D003924	species	1522	[Clostridium] innocuum	Bacteria	138	0.0179760512173913	0.00709	0.0412378932093507	
D003924	species	28125	Prevotella bivia	Bacteria	135	0.366854473755556	0.0170184	1.03350809372627	
D003924	species	1689	Bifidobacterium dentium	Bacteria	134	0.0715833779537313	0.0109698	0.136609847575825	
D003924	species	84026	[Clostridium] methylpentosum	Bacteria	134	0.106251690059701	0.0264298	0.18890009327887	
D003924	species	658082	Lachnospiraceae bacterium 2_1_58FAA	Bacteria	134	0.262503731343284	0.038295	0.68060171955164	
D003924	species	1685	Bifidobacterium breve	Bacteria	131	1.63266561205344	0.0332005	6.81849008472863	
D003924	species	52226	Mitsuokella multacida	Bacteria	130	0.347695611530769	0.0283834	1.19389231083568	
D003924	species	1265	Ruminococcus flavefaciens	Bacteria	128	0.0188713991875	0.005585	0.0329939618230807	
D003924	species	1515	Ruminiclostridium thermocellum	Bacteria	127	0.237809880559055	0.0334547	0.797159289052628	
D003924	species	69825	[Clostridium] indolis	Bacteria	127	0.187730425582677	0.097973	0.262715336376794	
D003924	species	113107	Streptococcus australis	Bacteria	127	0.0223209448818898	0.01279	0.0297859150540662	
D003924	species	351091	Oscillibacter valericigenes	Bacteria	127	0.977004131228346	0.416399	1.70423668874031	
D003924	species	847	Oxalobacter formigenes	Bacteria	126	0.0773502284761905	0.02113	0.127028439841038	
D003924	species	1532	Blautia coccoides	Bacteria	126	0.017223803547619	0.0103691	0.0245292394276368	
D003924	species	33035	Blautia producta	Bacteria	126	0.0526479553492063	0.016075	0.144074961638802	
D003924	species	905	Acidaminococcus fermentans	Bacteria	125	0.488440098976	0.0533474	1.29410688369818	
D003924	species	1118061	Alistipes obesi	Bacteria	125	0.39830272	0.13452	0.660995463568904	
D003924	species	1305	Streptococcus sanguinis	Bacteria	124	0.026954125216129	0.006445	0.123706210635818	
D003924	species	1303	Streptococcus oralis	Bacteria	123	0.158797647463415	0.0202412	0.447625277329557	
D003924	species	39484	Eubacterium desmolans	Bacteria	123	0.10622137703252	0.0592006	0.182349763139213	
D003924	species	43675	Rothia mucilaginosa	Bacteria	123	0.0214572929186992	0.00372485	0.0851849471666798	
D003924	species	84030	[Clostridium] saccharolyticum	Bacteria	123	0.102721298934959	0.0520591	0.178149004826011	
D003924	species	29348	[Clostridium] spiroforme	Bacteria	122	0.116733929672131	0.0279988	0.230712367744595	
D003924	species	1559	Clostridium tertium	Bacteria	121	0.0648357590413223	0.0282837	0.125423017892098	
D003924	species	397865	Barnesiella viscericola	Bacteria	121	0.277942759355372	0.101795	0.623215440353433	
D003924	species	1288121	Alistipes senegalensis	Bacteria	121	0.0375929752066116	0.01904	0.0492627511521066	
D003924	species	36847	[Clostridium] neopropionicum	Bacteria	120	0.108511246775	0.0310327	0.183015614104516	
D003924	species	901	Desulfovibrio piger	Bacteria	119	0.435644028176471	0.0817662	0.984498352903512	
D003924	species	907	Megasphaera elsdenii	Bacteria	119	5.13118925361345	0.688852	9.36752051948329	
D003924	species	44749	Sporobacter termitidis	Bacteria	119	0.268865582941176	0.0378727	1.31323243719243	
D003924	species	1297750	Bacteroides luti	Bacteria	119	1.32869710193277	0.411478	1.81098358445821	
D003924	species	28446	[Clostridium] propionicum	Bacteria	117	0.048785186	0.0231144	0.0793466533359814	
D003924	species	288965	[Clostridium] clariflavum	Bacteria	117	0.0411710223504273	0.0108284	0.120851949976711	
D003924	species	626937	Christensenella minuta	Bacteria	117	0.0670686338376068	0.0150811	0.12596939618548	
D003924	species	691816	Bacteroides rodentium	Bacteria	117	0.0233927553589744	0.00955878	0.0762826649634062	
D003924	species	1465754	Alistipes timonensis	Bacteria	115	0.28890358413913	0.0455381	1.26362291944427	
D003924	species	1531	[Clostridium] clostridioforme	Bacteria	114	0.389060700236842	0.01054	2.07942954185506	
D003924	species	376804	Bacteroides barnesiae	Bacteria	114	0.194607727026316	0.0174555	0.702115050861387	
D003924	species	387090	Bacteroides coprophilus	Bacteria	114	1.01650376937719	0.00937212	3.76826892180651	
D003924	species	1502	Clostridium perfringens	Bacteria	113	0.0432675967433628	0.00378544	0.182588550610129	
D003924	species	2173	Methanobrevibacter smithii	Archaea	112	1.19623703802679	0.089875	2.93171804788057	
D003924	species	437898	Sutterella parvirubra	Bacteria	112	0.269084204571429	0.04365895	0.655042590809032	
D003924	species	457422	Erysipelotrichaceae bacterium 2_2_44A	Bacteria	112	0.0246136607142857	0.005715	0.0758339527110103	
D003924	species	487174	Barnesiella intestinihominis	Bacteria	112	0.950516339285714	0.561805	0.994132126548593	
D003924	species	106588	Pseudoflavonifractor capillosus	Bacteria	110	0.00834527137272727	0.003677815	0.0152922768537609	
D003924	species	102148	Solobacterium moorei	Bacteria	109	0.0312212471559633	0.00605	0.100833673288849	
D003924	species	29363	Clostridium paraputrificum	Bacteria	108	0.0275545332222222	0.00471262	0.112140549455575	
D003924	species	29375	[Clostridium] xylanolyticum	Bacteria	108	0.075744928712963	0.0124852	0.236571052617241	
D003924	species	47246	[Clostridium] viride	Bacteria	108	0.0374209341888889	0.00947316	0.0671610624068108	
D003924	species	341225	[Clostridium] saccharogumia	Bacteria	108	0.03913632425	0.02046695	0.0557798585664299	
D003924	species	454155	Paraprevotella xylaniphila	Bacteria	108	0.0994319961462963	0.00732	0.331720252101	
D003924	species	871324	Bacteroides stercorirosoris	Bacteria	108	0.0379021197407407	0.0108443	0.145648294707966	
D003924	species	1624	Lactobacillus salivarius	Bacteria	107	0.254651724056075	0.00870722	1.07306001646687	
D003924	species	33043	Coprococcus eutactus	Bacteria	107	0.451365699957009	0.0126769	2.72664246492343	
D003924	species	633701	Prevotella saccharolytica	Bacteria	107	1.03881736529907	0.10913	2.76062545668841	
D003924	species	658655	Lachnospiraceae bacterium 1_4_56FAA	Bacteria	107	0.108705420560748	0.03794	0.168062587124842	
D003924	species	29347	[Clostridium] scindens	Bacteria	106	0.0183830639528302	0.007175185	0.0373955662831658	
D003924	species	658086	Lachnospiraceae bacterium 3_1_57FAA_CT1	Bacteria	106	0.158376886792453	0.018415	0.445476975161216	
D003924	species	143393	[Eubacterium] sulci	Bacteria	105	0.0314560825333333	0.00503069	0.0778812217785424	
D003924	species	1379	Gemella haemolysans	Bacteria	103	0.00776624749514563	0.00317257	0.0198638495041322	
D003924	species	228603	Prevotella shahii	Bacteria	103	0.663272605805825	0.0401975	1.3442491081393	
D003924	species	536633	Blautia glucerasea	Bacteria	103	0.0223485123300971	0.0124699	0.0299196654765535	
D003924	species	762212	Bifidobacterium biavatii	Bacteria	103	0.0727767859514563	0.0124181	0.228491666845502	
D003924	species	1161942	Ruminococcus champanellensis	Bacteria	103	0.101500177213592	0.0109123	0.263333014817836	
D003924	species	1307	Streptococcus suis	Bacteria	102	0.0210955696666667	0.00823381	0.0355369065972649	
D003924	species	1352	Enterococcus faecium	Bacteria	102	0.101826731490196	0.005923435	0.405700506488241	
D003924	species	197614	Streptococcus pasteurianus	Bacteria	102	0.0848423461764706	0.004460035	0.339292871306761	
D003924	species	1596	Lactobacillus gasseri	Bacteria	101	0.252268304059406	0.0111555	1.3836699845893	
D003924	species	1623	Lactobacillus ruminis	Bacteria	101	1.89664239644554	0.122499	6.47974830374759	
D003924	species	1309	Streptococcus mutans	Bacteria	100	0.067580057664	0.00519843	0.232682680893429	
D003924	species	115979	Bacillus nealsonii	Bacteria	100	0.01285093324	0.00929752	0.011372207413965	
D003924	species	469614	Erysipelotrichaceae bacterium 6_1_45	Bacteria	100	0.0274458	0.007665	0.0844475734821925	
D003924	species	477666	Bacteroides graminisolvens	Bacteria	99	0.0073009284040404	0.00534845	0.00654619237144108	
D003924	species	1358	Lactococcus lactis	Bacteria	98	0.0417138458061224	0.007463855	0.142305128322162	
D003924	species	1302	Streptococcus gordonii	Bacteria	96	0.0215942773958333	0.007225	0.0398201902534443	
D003924	species	28135	Prevotella oris	Bacteria	96	0.840891760927083	0.02013775	2.67229613711431	
D003924	species	626931	Bacteroides oleiciplenus	Bacteria	96	0.0141927005	0.001815	0.0413199049938834	
D003924	species	39950	Dialister pneumosintes	Bacteria	95	0.133012272894737	0.0467235	0.239728750506892	
D003924	species	589436	Prevotella fusca	Bacteria	95	0.279798711852632	0.0234564	1.39577478392893	
D003924	species	839	Prevotella ruminicola	Bacteria	94	0.0309719545744681	0.0119619	0.04065600816698	
D003924	species	1267	Clostridium ventriculi	Bacteria	94	0.0181358678404255	0.00501214	0.036286341448956	
D003924	species	1630	Kandleria vitulina	Bacteria	94	0.749675945053191	0.08559235	2.33434450930035	
D003924	species	1694	Bifidobacterium pseudolongum	Bacteria	94	0.219325809404255	0.05530105	0.384576501523533	
D003924	species	469610	Burkholderiales bacterium 1_1_47	Bacteria	94	0.163291914893617	0.055715	0.425043442476169	
D003924	species	1510	[Clostridium] stercorarium	Bacteria	92	0.0172032979782609	0.003695105	0.0696730623387084	
D003924	species	1691	Bifidobacterium indicum	Bacteria	92	0.00936859669565217	0.00538132	0.0130160554249732	
D003924	species	158787	Bifidobacterium scardovii	Bacteria	92	0.0491997024130435	0.02230345	0.0703525583754357	
D003924	species	180311	Hespellia stercorisuis	Bacteria	92	0.0190403343152174	0.009790535	0.025306096904559	
D003924	species	881	Desulfovibrio vulgaris	Bacteria	91	0.00977353125274725	0.00365089	0.0144303409109161	
D003924	species	28136	Prevotella oulorum	Bacteria	91	0.172473640395604	0.0101636	0.627790837791578	
D003924	species	100884	Coprobacillus cateniformis	Bacteria	90	0.149697525533333	0.00405787	0.66044535800492	
D003924	species	28129	Prevotella denticola	Bacteria	89	0.0325710029438202	0.00827956	0.113418892308031	
D003924	species	39497	Eubacterium xylanophilum	Bacteria	89	0.0193355003370787	0.00782888	0.0433557027527961	
D003924	species	52787	Anaerofilum pentosovorans	Bacteria	89	0.0146205007977528	0.00676521	0.031075966741057	
D003924	species	552398	Ruminococcaceae bacterium D16	Bacteria	88	0.191459204545455	0.008065	0.646067276547727	
D003924	species	645466	Anaerostipes butyraticus	Bacteria	88	0.00936945035227273	0.005035745	0.0128260625417547	
D003924	species	36835	[Clostridium] colinum	Bacteria	87	0.0162189407701149	0.00201827	0.0381090349752672	
D003924	species	185294	Prevotella paludivivens	Bacteria	87	0.108478730172414	0.0339109	0.179592632943414	
D003924	species	589437	Prevotella scopos	Bacteria	87	0.0329434579310345	0.0061222	0.0805437743218705	
D003924	species	626929	Bacteroides clarus	Bacteria	87	0.253684942528736	0.03379	0.733269050090508	
D003924	species	78343	Bifidobacterium boum	Bacteria	86	0.0255292614302326	0.006753345	0.0810356033187611	
D003924	species	29361	Tyzzerella nexilis	Bacteria	84	0.634242619047619	0.170595	1.17723530087216	
D003924	species	36745	Clostridium saccharoperbutylacetonicum	Bacteria	84	0.012002243297619	0.006326125	0.0161942979357685	
D003924	species	39483	Faecalitalea cylindroides	Bacteria	84	0.110818259671429	0.046116	0.187294264915397	
D003924	species	358742	[Clostridium] aldenense	Bacteria	84	0.0126917823142857	0.003825535	0.0288374505920471	
D003924	species	840	Prevotella loescheii	Bacteria	83	0.0326376884939759	0.0156188	0.046809719312347	
D003924	species	1338	Streptococcus intermedius	Bacteria	83	0.00523307108433735	0.00254573	0.00949664438187969	
D003924	species	35517	[Eubacterium] brachy	Bacteria	83	0.00824693630120482	0.00260627	0.0163454924860184	
D003924	species	133926	Olsenella uli	Bacteria	83	0.0308600396987952	0.0115969	0.0509866851770922	
D003924	species	671267	Bacteroides sartorii	Bacteria	83	0.0110823609156627	0.00357219	0.0391841307610668	
D003924	species	1382	Atopobium parvulum	Bacteria	82	0.0093488938902439	0.0028	0.0317116360714692	
D003924	species	35785	Clostridium maximum	Bacteria	82	0.0601991804390244	0.0107808	0.118027555736982	
D003924	species	37734	Enterococcus casseliflavus	Bacteria	82	0.021056006602439	0.002683385	0.0838732456471313	
D003924	species	28025	Bifidobacterium animalis	Bacteria	81	0.0637155291234568	0.01259	0.277022360556677	
D003924	species	33959	Lactobacillus johnsonii	Bacteria	81	0.380647836308642	0.00714439	1.6824572482742	
D003924	species	35760	Bifidobacterium choerinum	Bacteria	81	0.271156382716049	0.0614931	0.443856497056361	
D003924	species	658657	Erysipelotrichaceae bacterium 21_3	Bacteria	81	0.0420345679012346	0.0048	0.209550986719518	
D003924	species	623	Shigella flexneri	Bacteria	80	0.0102565476125	0.004513665	0.015281559986482	
D003924	species	41976	Porphyromonas catoniae	Bacteria	80	0.0041219516375	0.002267625	0.00575750498819739	
D003924	species	45851	Butyrivibrio crossotus	Bacteria	80	1.136718104305	0.00598824	3.60977845467486	
D003924	species	105841	Anaerostipes caccae	Bacteria	80	0.029569480975	0.001315545	0.175075762248571	
D003924	species	114702	Actinomyces lingnae	Bacteria	80	0.0050838741925	0.002367395	0.00617915448954445	
D003924	species	376806	Bacteroides gallinarum	Bacteria	80	0.0051387236	0.00264745	0.00908604958438795	
D003924	species	386414	Prevotella timonensis	Bacteria	80	0.02377173185	0.00277362	0.09786025761308	
D003924	species	1121298	Clostridium amylolyticum	Bacteria	80	0.004975829575	0.00193106	0.00790449559041186	
D003924	species	28127	Prevotella buccalis	Bacteria	79	0.0120752988075949	0.00337369	0.0500252825002449	
D003924	species	102684	Streptococcus infantarius	Bacteria	79	0.0289032764050633	0.00338788	0.0903958566525386	
D003924	species	1584	Lactobacillus delbrueckii	Bacteria	78	0.226642998371795	0.00645522	1.07568051712734	
D003924	species	185293	Prevotella oryzae	Bacteria	78	0.0272226938076923	0.00655926	0.107768773643373	
D003924	species	1311	Streptococcus agalactiae	Bacteria	77	0.00954591349350649	0.00199974	0.0308884492372482	
D003924	species	1605	Lactobacillus animalis	Bacteria	77	0.162228986285714	0.00348032	1.10406802706753	
D003924	species	77768	Prevotella albensis	Bacteria	77	0.0127394524155844	0.00431335	0.020477639083711	
D003924	species	147207	Collinsella intestinalis	Bacteria	77	0.110029444207792	0.00435134	0.350423396982812	
D003924	species	185300	Paludibacter propionicigenes	Bacteria	77	0.0046247596987013	0.00198945	0.00862811524303903	
D003924	species	544644	Butyricimonas synergistica	Bacteria	77	0.0228397402597403	0.00528	0.0694769342067837	
D003924	species	309120	Dialister micraerophilus	Bacteria	76	0.318877381434211	0.0577145	0.698460343538889	
D003924	species	983706	Bifidobacterium reuteri	Bacteria	76	0.0102627707368421	0.005163115	0.0136042990376254	
D003924	species	1070699	Clostridiaceae bacterium JC118	Bacteria	76	0.039355	0.017545	0.0720417226797546	
D003924	species	1684	Bifidobacterium asteroides	Bacteria	75	0.01072703112	0.00399821	0.017820075361214	
D003924	species	97478	Lactobacillus mucosae	Bacteria	75	0.522635940853333	0.08015	1.00094949220206	
D003924	species	103892	Veillonella ratti	Bacteria	75	0.712315604986667	0.00979163	3.38808063818132	
D003924	species	1507	Clostridium sp. ATCC 29733	Bacteria	74	0.013896099627027	0.004932995	0.0271788142652538	
D003924	species	1590	Lactobacillus plantarum	Bacteria	74	0.0423964096810811	0.00278	0.242805158678895	
D003924	species	137732	Granulicatella elegans	Bacteria	74	0.00233708243243243	0.001268755	0.00347875194974533	
D003924	species	419005	Prevotella amnii	Bacteria	74	0.0498075950540541	0.00530125	0.125201484889772	
D003924	species	762211	Bifidobacterium stellenboschense	Bacteria	74	0.00711008804054054	0.0041308	0.0102180566099335	
D003924	species	1633	Lactobacillus vaginalis	Bacteria	73	0.127414412246575	0.00551	0.714807686723503	
D003924	species	68892	Streptococcus infantis	Bacteria	73	0.0189615068493151	0.00636	0.0446268334410548	
D003924	species	246618	Bifidobacterium thermacidophilum	Bacteria	73	0.0793485024657534	0.0315995	0.115444622250233	
D003924	species	626935	Collinsella tanakaei	Bacteria	73	0.252453208589041	0.00998602	1.12859699296049	
D003924	species	638849	Pyramidobacter piscolens	Bacteria	73	0.104273599205479	0.00137092	0.344234373240968	
D003924	species	1280	Staphylococcus aureus	Bacteria	72	0.015216441875	0.002198455	0.0349456180157722	
D003924	species	28126	Prevotella buccae	Bacteria	72	0.0448729781666667	0.00640038	0.169586449605095	
D003924	species	502558	Eggerthella sp. YY7918	Bacteria	72	0.0104591081527778	0.003656505	0.0189908625823523	
D003924	species	649724	Clostridium sp. ATCC BAA-442	Bacteria	72	0.231945832361111	0.00369793	0.656892844120869	
D003924	species	871325	Bacteroides faecichinchillae	Bacteria	72	0.00407076530555556	0.002642385	0.00491506925649324	
D003924	species	550	Enterobacter cloacae	Bacteria	71	0.42947597964507	0.02116	1.52873543245639	
D003924	species	1504	Clostridium septicum	Bacteria	71	0.0225664755633803	0.00168189	0.0791898302532373	
D003924	species	33905	Bifidobacterium thermophilum	Bacteria	71	0.0225817508169014	0.00934783	0.0314046478070694	
D003924	species	44742	Desulfovibrio fairfieldensis	Bacteria	71	0.0130505112112676	0.00272187	0.041549504264854	
D003924	species	46206	Pseudobutyrivibrio ruminis	Bacteria	71	0.0100980623380282	0.00211193	0.0206446761288906	
D003924	species	133453	Caldilinea aerophila	Bacteria	71	0.00785955991549296	0.00251912	0.0195956258320953	
D003924	species	851	Fusobacterium nucleatum	Bacteria	70	0.0281589505714286	0.00262249	0.136474853482968	
