phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance,Unnamed: 9,phenotype_id,source_phenotype
D015212,species,39485,[Eubacterium] eligens,Bacteria,241,1.90689304526971,0.84581,2.95288239106123,,D015212,D015212
D009765,species,39486,Dorea formicigenerans,Bacteria,714,0.593566274509804,0.398515,0.565216806169849,,D009765,D009765
D009765,species,39488,[Eubacterium] hallii,Bacteria,731,1.15837495212038,0.54646,2.10059133737533,,D009765,D009765
D009765,species,39490,Eubacterium ramulus,Bacteria,556,0.400352338129496,0.15328,0.63085381441168,,D009765,D009765
D009765,species,39491,[Eubacterium] rectale,Bacteria,781,9.96200782330346,6.36019,10.4178411788848,,D009765,D009765
D015179,species,39492,[Eubacterium] siraeum,Bacteria,901,1.76188968670588,0.47181,3.33908107327373,,D015179,D015179
D009765,species,39496,Eubacterium ventriosum,Bacteria,462,0.480781926406926,0.206305,0.900235564763734,,D009765,D009765
D009765,species,40518,Ruminococcus bromii,Bacteria,661,4.64214264750378,3.05796,5.71783212650061,,D009765,D009765
D015212,species,40519,Ruminococcus callidus,Bacteria,161,0.774741845279503,0.24753,0.975852923109534,,D015212,D015212
D015212,species,40520,Blautia obeum,Bacteria,296,1.49751546418919,0.6228575,2.78042805662068,,D015212,D015212
D015212,species,40545,Sutterella wadsworthensis,Bacteria,35,4.12256114285714,1.61251,5.94936821128328,,D015212,D015212
D009765,species,45851,Butyrivibrio crossotus,Bacteria,161,10.4648633540373,2.6033,15.2559864737716,,D009765,D009765
D015179,species,46228,Ruminococcus lactaris,Bacteria,690,0.998619257408696,0.296865,1.52322933866723,,D015179,D015179
D006262,species,46503,Parabacteroides merdae,Bacteria,9269,1.47418521886234,0.42037,4.12413547034621,,D006262,D006262
D003924,species,46506,Bacteroides stercoris,Bacteria,342,4.51462709249123,0.564808,8.00309761268982,,D003924,D003924
D015212,species,47678,Bacteroides caccae,Bacteria,208,1.81176866538462,0.603215,3.53703371293986,,D015212,D015212
D015179,species,47770,Lactobacillus crispatus,Bacteria,102,0.823724380676471,0.0099727,1.93136101821761,,D015179,D015179
D006262,species,48296,Acinetobacter pittii,Bacteria,140,1.15418583410714,0.00354582,7.23338096683356,,D006262,D006262
D015212,species,51664,Lactobacillus dextrinicus,Bacteria,28,0.631868060321429,0.00844003,3.03492522262243,,D015212,D015212
D009765,species,52226,Mitsuokella multacida,Bacteria,62,0.341086129032258,0.101605,0.715187524890179,,D009765,D009765
D015179,species,53345,Enterococcus durans,Bacteria,38,0.848231578947368,0.129175,1.29260204512747,,D015179,D015179
D015179,species,54291,Raoultella ornithinolytica,Bacteria,18,1.1925879045,0.0460204,2.7136330695941,,D015179,D015179
D006262,species,55206,Spirochaeta smaragdinae,Bacteria,69,0.847327101586957,0.0536193,3.02483505242941,,D006262,D006262
D009765,species,74426,Collinsella aerofaciens,Bacteria,585,2.90752704273504,1.6354,3.83839497959308,,D009765,D009765
D006262,species,78345,Bifidobacterium merycicum,Bacteria,2677,1.43198381944565,0.0727217,4.42971723525608,,D006262,D006262
D003924,species,83771,Succinivibrio dextrinosolvens,Bacteria,16,3.654392085625,0.922485,5.40334233562528,,D003924,D003924
D006262,species,84980,Desulfotalea psychrophila,Bacteria,42,1.13750166714286,0.00507153,2.32135706380633,,D006262,D006262
D009765,species,88431,Dorea longicatena,Bacteria,752,1.29902174202128,0.84158,1.27708287324756,,D009765,D009765
D015212,species,89014,Blautia luti,Bacteria,65,0.636089816153846,0.614767,0.486356970735041,,D015212,D015212
D003924,species,89524,Rubrimonas cliftonensis,Bacteria,12,0.8703000275,0.03419515,2.75020650559282,,D003924,D003924
D006262,species,93220,Pandoraea pnomenusa,Bacteria,41,0.999933045487805,0.0052222,1.67077848311207,,D006262,D006262
D003924,species,97478,Lactobacillus mucosae,Bacteria,75,0.522635940853333,0.08015,1.00094949220206,,D003924,D003924
D009765,species,100884,Coprobacillus cateniformis,Bacteria,21,0.992818571428571,0.67043,0.874770421180813,,D009765,D009765
D009765,species,100886,Catenibacterium mitsuokai,Bacteria,132,1.9861228030303,1.148895,2.49026270043035,,D009765,D009765
D003924,species,103892,Veillonella ratti,Bacteria,75,0.712315604986667,0.00979163,3.38808063818132,,D003924,D003924
D015212,species,122355,Pseudomonas psychrophila,Bacteria,46,1.44867737326087,0.00314837,5.99720107966515,,D015212,D015212
D006262,species,146939,Azospira oryzae,Bacteria,35,3.98882485322857,0.0103643,5.73537696183427,,D006262,D006262
D009765,species,147207,Collinsella intestinalis,Bacteria,68,5.26106544117647,2.06733,7.44341093650197,,D009765,D009765
D015212,species,150055,Streptococcus lutetiensis,Bacteria,18,1.26146775272222,0.0492544,3.19564813042656,,D015212,D015212
D015179,species,156456,Anaeroglobus geminatus,Bacteria,85,0.862391666176471,0.00622,2.63639093899013,,D015179,D015179
D006262,species,158787,Bifidobacterium scardovii,Bacteria,4740,2.18193435141456,0.03533105,6.83838217060433,,D006262,D006262
D009765,species,158847,Megamonas hypermegale,Bacteria,62,2.63989532258064,0.44232,3.97731002385796,,D009765,D009765
D009765,species,165179,Prevotella copri,Bacteria,380,12.6687964210526,4.338725,16.986205922609,,D009765,D009765
D015212,species,166486,Roseburia intestinalis,Bacteria,243,2.26163147057613,0.30792,5.3242022718722,,D015212,D015212
D003924,species,179995,Anaerobiospirillum thomasii,Bacteria,55,2.28622672425455,0.0228471,5.10228282730319,,D003924,D003924
D015212,species,187326,Megasphaera micronuciformis,Bacteria,34,0.874414126117647,0.015747035,2.76915946537103,,D015212,D015212
D015212,species,187327,Acidaminococcus intestini,Bacteria,116,0.715619560689655,0.03083335,2.53229126850476,,D015212,D015212
D006262,species,188913,Cetobacterium somerae,Bacteria,18,2.43613833333333,0.26931,5.79584805659976,,D006262,D006262
D015212,species,197614,Streptococcus pasteurianus,Bacteria,88,0.687191506954545,0.0071792,3.70660363805371,,D015212,D015212
D009765,species,204516,Bacteroides massiliensis,Bacteria,379,2.43122889182058,0.71481,4.35784604858162,,D009765,D009765
D003924,species,208479,[Clostridium] bolteae,Bacteria,342,0.708084109114035,0.0468604,3.84437431016456,,D003924,D003924
D015212,species,216816,Bifidobacterium longum,Bacteria,236,3.25267884351695,1.029275,6.39977754314165,,D015212,D015212
D009765,species,218538,Dialister invisus,Bacteria,183,11.0907564480874,4.96276,14.5968029992319,,D009765,D009765
D003924,species,228603,Prevotella shahii,Bacteria,103,0.663272605805825,0.0401975,1.3442491081393,,D003924,D003924
D003924,species,234908,Sutterella stercoricanis,Bacteria,56,2.21412260375,1.25879,2.82882244316944,,D003924,D003924
D015179,species,237258,Cloacibacterium normanense,Bacteria,93,1.86211134367742,0.0109861,5.37760606634144,,D015179,D015179
D015179,species,239935,Akkermansia muciniphila,Bacteria,975,4.56803842035077,0.68848,9.10847333324087,,D015179,D015179
D009765,species,246787,Bacteroides cellulosilyticus,Bacteria,372,1.67778029569892,0.33699,3.95063989782558,,D009765,D009765
D015179,species,281920,Porphyromonas uenonis,Bacteria,180,0.959153603611111,0.033395,3.95622409880762,,D015179,D015179
D009765,species,291644,Bacteroides salyersiae,Bacteria,181,0.752180994475138,0.18909,1.45447053753213,,D009765,D009765
D009765,species,301301,Roseburia hominis,Bacteria,617,0.739639805510535,0.27595,1.19836546523415,,D009765,D009765
D015212,species,301302,Roseburia faecis,Bacteria,61,0.677368888688525,0.302071,0.832714446933594,,D015212,D015212
D003924,species,308994,Dialister propionicifaciens,Bacteria,35,1.03097409142857,0.0376375,2.20684495779894,,D003924,D003924
D009765,species,310297,Bacteroides plebeius,Bacteria,239,2.74444410041841,0.52495,5.87737727706968,,D009765,D009765
D009765,species,310298,Bacteroides coprocola,Bacteria,131,5.05107458015267,2.30309,7.7845753698197,,D009765,D009765
D015179,species,322095,Porphyromonas somerae,Bacteria,120,1.4839395,0.21224,4.44377236506466,,D015179,D015179
D015212,species,328812,Parabacteroides goldsteinii,Bacteria,105,1.28718313780952,0.046062,6.31746459935462,,D015212,D015212
D015179,species,328813,Alistipes onderdonkii,Bacteria,1098,1.52233368236521,0.35802,3.40980540218335,,D015179,D015179
D003924,species,328814,Alistipes shahii,Bacteria,302,0.553151397715232,0.2533485,0.81538305507736,,D003924,D003924
D009765,species,329854,Bacteroides intestinalis,Bacteria,168,0.861742380952381,0.092155,1.91543437696741,,D009765,D009765
D015212,species,338188,Bacteroides finegoldii,Bacteria,90,1.39569021955556,0.109347,2.2758894690059,,D015212,D015212
D006262,species,349096,Pectinatus haikarae,Bacteria,926,1.99144809354428,0.02040715,6.86582321568682,,D006262,D006262
D003924,species,351091,Oscillibacter valericigenes,Bacteria,127,0.977004131228346,0.416399,1.70423668874031,,D003924,D003924
D009765,species,357276,Bacteroides dorei,Bacteria,541,3.21574500924214,0.51665,7.50290487489453,,D009765,D009765
D003924,species,360807,Roseburia inulinivorans,Bacteria,266,1.44352119898496,0.3305335,3.35384933213284,,D003924,D003924
D006262,species,363265,Prevotella stercorea,Bacteria,643,4.96046755832037,1.12714,9.26068397070349,,D006262,D006262
D006262,species,367282,Deinococcus yunweiensis,Bacteria,52,0.841765152019231,0.002502495,5.82144161138693,,D006262,D006262
D015179,species,371601,Bacteroides xylanisolvens,Bacteria,1047,0.915968110200573,0.171467,2.70979736444551,,D015179,D015179
D009765,species,384638,[Bacteroides] pectinophilus,Bacteria,14,2.38352714285714,0.553455,4.08202273354094,,D009765,D009765
D009765,species,387090,Bacteroides coprophilus,Bacteria,66,3.27173924242424,2.084135,3.48399387725873,,D009765,D009765
D015212,species,397865,Barnesiella viscericola,Bacteria,110,0.939267287454545,0.332264,1.50128140977654,,D015212,D015212
D009765,species,410072,Coprococcus comes,Bacteria,721,1.15581238557559,0.88823,1.05876886940151,,D009765,D009765
D006262,species,411484,Clostridium sp. SS2/1,Bacteria,15,1.182106,1.29747,0.421086636365623,,D006262,D006262
D015179,species,411489,Clostridium sp. L2-50,Bacteria,70,4.94496657142857,2.394375,6.85698178115358,,D015179,D015179
D006262,species,413889,Caldicellulosiruptor kronotskyensis,Bacteria,15,1.20060910826667,0.0020343,2.58271464085025,,D006262,D006262
D006262,species,426421,Sediminibacterium salmoneum,Bacteria,366,2.45106904215437,0.003218195,9.28747211868113,,D006262,D006262
D009765,species,437897,Megamonas funiformis,Bacteria,41,1.88014048780488,0.50233,3.67171156290833,,D009765,D009765
D015212,species,437898,Sutterella parvirubra,Bacteria,89,0.587552165910112,0.0979706,0.929247411181954,,D015212,D015212
D009765,species,454154,Paraprevotella clara,Bacteria,272,0.542172169117647,0.184965,1.36840363763244,,D009765,D009765
D006262,species,457392,Bacteroides sp. 3_2_5,Bacteria,19,6.41541210526316,3.31505,8.11638217879916,,D006262,D006262
D006262,species,457394,Bacteroides sp. 4_3_47FAA,Bacteria,49,12.8073869387755,7.13049,13.2035844080582,,D006262,D006262
D015212,species,457402,Eubacterium sp. 3_1_31,Bacteria,83,1.14786578313253,0.28562,2.36629611152428,,D015212,D015212
D015212,species,457412,Ruminococcus sp. 5_1_39BFAA,Bacteria,134,4.58509104477612,2.950915,4.9751601890611,,D015212,D015212
D015179,species,457415,Synergistes sp. 3_1_syn1,Bacteria,27,1.42719148148148,0.90974,1.80751677853198,,D015179,D015179
D006262,species,469586,Bacteroides sp. 1_1_6,Bacteria,45,3.09450777777778,3.09418,1.74367146332607,,D006262,D006262
D006262,species,469588,Bacteroides sp. 2_1_22,Bacteria,234,3.75312504273504,1.17001,7.99868256285171,,D006262,D006262
D003924,species,469592,Bacteroides sp. 3_1_19,Bacteria,11,2.97833909090909,1.10589,3.64190060515785,,D003924,D003924
D003924,species,469596,Coprobacillus sp. 29_1,Bacteria,16,1.01095375,0.44396,1.40537098925456,,D003924,D003924
D009765,species,487173,Dialister succinatiphilus,Bacteria,61,4.16490950819672,1.90988,5.76745997779826,,D009765,D009765
D006262,species,487174,Barnesiella intestinihominis,Bacteria,3356,2.15557555423123,1.317115,2.66021061552502,,D006262,D006262
D015212,species,487175,Parasutterella excrementihominis,Bacteria,209,0.680290268325359,0.105392,2.54044358382449,,D015212,D015212
D009765,species,491921,Megamonas rupellensis,Bacteria,55,1.04942363636364,0.06337,1.89538060714715,,D009765,D009765
D015179,species,501571,Butyricicoccus pullicaecorum,Bacteria,31,0.837009032258065,0.01743,3.13723081710113,,D015179,D015179
D015212,species,536633,Blautia glucerasea,Bacteria,127,0.594647946299213,0.135083,1.34267072685731,,D015212,D015212
D003924,species,544645,Butyricimonas virosa,Bacteria,48,0.628330892291667,0.507933,0.518779804333708,,D003924,D003924
D009765,species,552396,Erysipelotrichaceae bacterium 5_2_54FAA,Bacteria,20,0.408755,0.01559,0.76275236096859,,D009765,D009765
D003924,species,556262,Coprobacillus sp. D6,Bacteria,10,0.54324,0.40194,0.418237496990512,,D003924,D003924
D009765,species,563193,Parabacteroides sp. D13,Bacteria,20,2.1882415,2.060625,1.05400407192,,D009765,D009765
D015179,species,626930,Bacteroides fluxus,Bacteria,44,1.61556676565909,0.0142928,2.82003895097005,,D015179,D015179
D009765,species,626931,Bacteroides oleiciplenus,Bacteria,23,0.567216956521739,0.01886,1.06066375305721,,D009765,D009765
D015179,species,626933,Odoribacter laneus,Bacteria,34,1.09576670926471,0.07470375,3.56644532835112,,D015179,D015179
D009765,species,626940,Phascolarctobacterium succinatutens,Bacteria,206,4.06321791262136,3.64602,3.22047107158565,,D009765,D009765
D015179,species,633701,Prevotella saccharolytica,Bacteria,264,1.28006388855303,0.0124419,3.23059351579626,,D015179,D015179
D015179,species,638849,Pyramidobacter piscolens,Bacteria,44,1.00897058959091,0.09812605,4.05863792224557,,D015179,D015179
D015179,species,658081,Lachnospiraceae bacterium 1_1_57FAA,Bacteria,431,1.29558761020882,0.27795,4.29836480229061,,D015179,D015179
D015179,species,665943,Eggerthella sp. 1_3_56FAA,Bacteria,10,0.799278,0.281025,0.89182256919686,,D015179,D015179
D015179,species,665951,Lachnospiraceae bacterium 8_1_57FAA,Bacteria,225,0.786662622222222,0.37416,1.01214749875784,,D015179,D015179
D015212,species,665956,Subdoligranulum sp. 4_3_54A2FAA,Bacteria,18,1.27871444444444,0.39548,2.31723058235275,,D015212,D015212
D015212,species,674529,Bacteroides faecis,Bacteria,52,1.097175,0.62509,1.33180290808156,,D015212,D015212
D009765,species,742723,Lachnospiraceae bacterium 2_1_46FAA,Bacteria,16,0.43974,0.208655,0.510294552077523,,D009765,D009765
D006262,species,749535,Klebsiella sp. MS 92-3,Bacteria,15,4.86679733333333,1.17277,8.67414273632309,,D006262,D006262
D015179,species,751585,Coprococcus sp. ART55/1,Bacteria,10,9.547718,7.2425,4.51719435578915,,D015179,D015179
D006262,species,762210,Bifidobacterium saguini,Bacteria,2741,1.01215105390296,0.03663,4.43312980306547,,D006262,D006262
D015212,species,882211,Pseudomonas deceptionensis,Bacteria,14,4.28336282214286,0.00930588,10.3605888630367,,D015212,D015212
D015179,species,908612,Alistipes sp. HGB5,Bacteria,18,5.49915222222222,3.96847,3.72498880878786,,D015179,D015179
D015179,species,1095771,Ruminococcus sp. JC304,Bacteria,15,0.940958666666667,0.33384,1.54573637357672,,D015179,D015179
D003924,species,1097668,Burkholderia sp. YI23,Bacteria,20,0.529016945,0.180123,0.731265430162332,,D003924,D003924
D006262,species,1111120,Acidaminococcus sp. BV3L6,Bacteria,12,2.29852666666667,1.268705,3.04150521382344,,D006262,D006262
D009765,species,1118060,Enorma massiliensis phI,Bacteria,71,0.941933098591549,0.12932,1.359130242289,,D009765,D009765
D015212,species,1118061,Alistipes obesi,Bacteria,54,1.03294703703704,0.442645,1.47182619303256,,D015212,D015212
D006262,species,1147129,Dehalobacter sp. DCA,Bacteria,70,2.5184357979,2.67922,2.64700701475373,,D006262,D006262
D009765,species,1161942,Ruminococcus champanellensis,Bacteria,16,0.63358875,0.376215,0.897187738606029,,D009765,D009765
D006262,species,1211813,Candidatus Alistipes marseilloanorexicus AP11,Bacteria,552,1.24632177536232,0.785635,1.40425782274192,,D006262,D006262
D006262,species,1226322,Oscillibacter sp. KLE 1728,Bacteria,48,1.82585625,1.629115,1.25551205896685,,D006262,D006262
D006262,species,1226323,Oscillibacter sp. KLE 1745,Bacteria,233,1.27427081545064,0.63201,1.41027484195205,,D006262,D006262
D006262,species,1226325,Clostridium sp. KLE 1755,Bacteria,36,1.32960777777778,0.783565,2.11045294682054,,D006262,D006262
D015179,species,1297750,Bacteroides luti,Bacteria,466,1.35203709840129,0.691834,2.22868423130968,,D015179,D015179
D006262,species,1691891,Nonomuraea sp. NBRC 110462,Bacteria,26,1.94878715423077,0.0033838,4.45861206159323,,D006262,D006262
D006262,species,1755626,Faecalibacterium sp. MC_41,Bacteria,3557,8.42742498705651,6.92094,7.11834331546642,,D006262,D006262
